Mission ID;MissionDate;;;Theater of Operations;Country;Air Force;Unit ID;Aircraft Series;Callsign;Mission Type;Takeoff Base;Takeoff Location;Takeoff Latitude;Takeoff Longitude;Target ID;Target Country;Target City;Target Type;Target Industry;Target Priority;Target Latitude;Target Longitude;Altitude (Hundreds of Feet);Airborne Aircraft;Attacking Aircraft;Bombing Aircraft;Aircraft Returned;Aircraft Failed;Aircraft Damaged;Aircraft Lost;High Explosives;High Explosives Type;High Explosives Weight (Pounds);High Explosives Weight (Tons);Incendiary Devices;Incendiary Devices Type;Incendiary Devices Weight (Pounds);Incendiary Devices Weight (Tons);Fragmentation Devices;Fragmentation Devices Type;Fragmentation Devices Weight (Pounds);Fragmentation Devices Weight (Tons);Total Weight (Pounds);Total Weight (Tons);Time Over Target;Bomb Damage Assessment;Source ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mission ID
17;8;15;1943;ETO;;;;B17;;;;;;;1063;FRANCE;AMIENS;AIRDROME;AIR FIELDS AND AIRDROMES;1;49.9;2.3;240;;;;;;;;;;;5;;;;;;;;;;5;;;95429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;8;15;1943;ETO;;;;B17;;;;;;;1063;FRANCE;AMIENS;AIRDROME;AIR FIELDS AND AIRDROMES;1;49.9;2.3;240;;;;;;;;;;;5;;;;;;;;;;5;;;197535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;8;15;1943;ETO;;;;B17;;;;;;;1063;FRANCE;AMIENS;AIRDROME;AIR FIELDS AND AIRDROMES;1;49.9;2.3;240;;;;;;;;;;;5;;;;;;;;;;5;;;197555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;8;15;1943;ETO;;;;B17;;;;;;;1063;FRANCE;AMIENS;AIRDROME;AIR FIELDS AND AIRDROMES;1;49.9;2.3;234;;;;;;;;;;;20;;;;;;;;;;20;;;95431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;8;15;1943;ETO;;;;B17;;;;;;;1063;FRANCE;AMIENS;AIRDROME;AIR FIELDS AND AIRDROMES;1;49.9;2.3;234;;;;;;;;;;;20;;;;;;;;;;20;;;197537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;8;15;1943;ETO;;;;B17;;;;;;;1063;FRANCE;AMIENS;AIRDROME;AIR FIELDS AND AIRDROMES;1;49.9;2.3;234;;;;;;;;;;;20;;;;;;;;;;20;;;197557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;8;15;1943;ETO;;;;B17;;;;;;;14129;HOLLAND OR NETHERLANDS;FLUSHING;;AIR FIELDS AND AIRDROMES;1;51.4;3.53;230;;;;;;;;;;;36;;;;;;;;;;36;;;95434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;8;15;1943;ETO;;;;B17;;;;;;;14129;HOLLAND OR NETHERLANDS;FLUSHING;;AIR FIELDS AND AIRDROMES;1;51.4;3.53;230;;;;;;;;;;;36;;;;;;;;;;36;;;197540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;8;15;1943;ETO;;;;B17;;;;;;;14129;HOLLAND OR NETHERLANDS;FLUSHING;;AIR FIELDS AND AIRDROMES;1;51.4;3.53;230;;;;;;;;;;;36;;;;;;;;;;36;;;197559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;8;15;1943;ETO;;;;B17;;;;;;;1063;FRANCE;AMIENS;AIRDROME;AIR FIELDS AND AIRDROMES;1;49.9;2.3;220;;;;;;;;;;;;;;;;;;;;;;;;95430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;8;15;1943;ETO;;;;B17;;;;;;;1063;FRANCE;AMIENS;AIRDROME;AIR FIELDS AND AIRDROMES;1;49.9;2.3;220;;;;;;;;;;;;;;;;;;;;;;;;197536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
