Mission_ID;Mission_Month;Mission_Day;Mission_Year;Target_Longitude;Target_Latitude;Target_Country;Target_City;Theater of Operations;Country;Air Force;Unit ID;Aircraft Series;Callsign;Mission Type;Takeoff Base;Takeoff Location;Takeoff Latitude;Takeoff Longitude;Target ID;Target Type;Target Industry;Target Priority;Altitude (Hundreds of Feet);Airborne Aircraft;Attacking Aircraft;Bombing Aircraft;Aircraft Returned;Aircraft Failed;Aircraft Damaged;Aircraft Lost;High Explosives;High Explosives Type;High Explosives Weight (Pounds);High Explosives Weight (Tons);Incendiary Devices;Incendiary Devices Type;Incendiary Devices Weight (Pounds);Incendiary Devices Weight (Tons);Fragmentation Devices;Fragmentation Devices Type;Fragmentation Devices Weight (Pounds);Fragmentation Devices Weight (Tons);Total Weight (Pounds);Total Weight (Tons);Time Over Target;Bomb Damage Assessment;"Source ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mission ID;Mission_Date;Theater of Operations;Country;Air Force;Unit ID;Aircraft Series;Callsign;Mission Type;Takeoff Base;Takeoff Location;Takeoff Latitude;Takeoff Longitude;Target ID;Target Country;Target City;Target Type;Target Industry;Target Priority;Target Latitude;Target Longitude;Altitude (Hundreds of Feet);Airborne Aircraft;Attacking Aircraft;Bombing Aircraft;Aircraft Returned;Aircraft Failed;Aircraft Damaged;Aircraft Lost;High Explosives;High Explosives Type;High Explosives Weight (Pounds);High Explosives Weight (Tons);Incendiary Devices;Incendiary Devices Type;Incendiary Devices Weight (Pounds);Incendiary Devices Weight (Tons);Fragmentation Devices;Fragmentation Devices Type;Fragmentation Devices Weight (Pounds);Fragmentation Devices Weight (Tons);Total Weight (Pounds);Total Weight (Tons);Time Over Target;Bomb Damage Assessment;Source ID";Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61
262;2;16;1945;8;50.67;GERMANY;50_40_N_008_00_E;ETO;USA;8 AF;;B26;;;;;;;90277;TANKS;TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW);;121;;;;;;;;;;;61;;;;;;;;;;61;;;"116827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
263;2;16;1945;8;50.67;GERMANY;50_40_N_008_00_E;ETO;USA;8 AF;;B26;;;;;;;90277;TANKS;TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW);;121;;;;;;;;;;;61;;;;;;;;;;61;;;"216630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
264;2;16;1945;8;50.67;GERMANY;50_40_N_008_00_E;ETO;USA;8 AF;;B26;;;;;;;90277;TANKS;TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW);;121;;;;;;;;;;;61;;;;;;;;;;61;;;"216640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
265;2;16;1945;7.35;52.17;GERMANY;BURGSTEINFURT;ETO;USA;8 AF;;GB24;;;;;;;6679;CITY AREA;CITIES TOWNS AND URBAN AREAS;4;;1;1;1;;;;;;;;4;;;;;;;;;;4;;;"116870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
266;2;16;1945;7.35;52.17;GERMANY;BURGSTEINFURT;ETO;USA;8 AF;;GB24;;;;;;;6679;CITY AREA;CITIES TOWNS AND URBAN AREAS;4;;2;2;2;;;;;;;;1;;;;;;;;;;1;;;"116871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
267;2;16;1945;7.35;52.17;GERMANY;BURGSTEINFURT;ETO;USA;8 AF;;GB24;;;;;;;6679;CITY AREA;CITIES TOWNS AND URBAN AREAS;4;;1;1;1;;;;;;;;4;;;;;;;;;;4;;;"185933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
268;2;16;1945;7.35;52.17;GERMANY;BURGSTEINFURT;ETO;USA;8 AF;;GB24;;;;;;;6679;CITY AREA;CITIES TOWNS AND URBAN AREAS;4;;2;2;2;;;;;;;;1;;;;;;;;;;1;;;"185934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
269;2;16;1945;7.35;52.17;GERMANY;BURGSTEINFURT;ETO;USA;8 AF;;B24;;;;;;;6679;CITY AREA;CITIES TOWNS AND URBAN AREAS;4;;1;1;1;;;;;;;;4;;;;;;;;;;4;;;"185961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
270;2;16;1945;7.35;52.17;GERMANY;BURGSTEINFURT;ETO;USA;8 AF;;B24;;;;;;;6679;CITY AREA;CITIES TOWNS AND URBAN AREAS;4;;2;2;2;;;;;;;;1;;;;;;;;;;1;;;"185962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
271;2;16;1945;;;GERMANY;49_20_N_011_40_E;ETO;USA;8 AF;;B24;;;;;;;90196;RAILROAD;;;;;RR INSTALLATIONS;  TRACKS;  MARSHALLING YARDS;  AND STATIONS;;;;;;;3;49.33;11.67;;1;1;1;;;;;;;;2;;;;;;;;;;2;;;"186082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
272;2;16;1945;7;50.67;GERMANY;50_40_N_007_00_E;ETO;USA;8 AF;;A20;;;;;;;90267;BRIDGE;BRIDGES;;;;;;;;;;;;;1;;;;;;;;;;1;;;"116805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
273;2;16;1945;7;50.67;GERMANY;50_40_N_007_00_E;ETO;USA;8 AF;;A20;;;;;;;90267;BRIDGE;BRIDGES;;;;;;;;;;;;;1;;;;;;;;;;1;;;"216618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
274;2;16;1945;9.33;50.67;GERMANY;50_40_N_009_20_E;ETO;USA;8 AF;;B26;;;;;;;90288;R R CARS;MOVING TRAINS & ROLLING STOCK;;;;;;;;;;;;;;;;;30;;;;;;30;;;"116806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
275;2;16;1945;9.33;50.67;GERMANY;50_40_N_009_20_E;ETO;USA;8 AF;;B26;;;;;;;90288;R R CARS;MOVING TRAINS & ROLLING STOCK;;;;;;;;;;;;;;;;;30;;;;;;30;;;"216619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
276;2;16;1945;6.67;51.67;GERMANY;51_40_N_006_40_E;ETO;USA;8 AF;;B17;;;;;;;90399;UNIDENTIFIED TARGETS;UNIDENTIFIED TARGETS;3;;1;1;1;;;;;;;;3;;;;;;;;;;3;;;"185931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
277;2;16;1945;6.67;51.67;GERMANY;51_40_N_006_40_E;ETO;USA;8 AF;;GB17;;;;;;;90399;UNIDENTIFIED TARGETS;UNIDENTIFIED TARGETS;3;;1;1;1;;;;;;;;3;;;;;;;;;;3;;;"185998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
278;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;284;10;10;10;;;;;;;;24;;;;;;;;;;24;;;"116779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
279;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;GB17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;284;10;10;10;;;;;;;;24;;;;;;;;;;24;;;"116839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
280;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;284;10;10;10;;;;;;;;24;;;;;;;;;;24;;;"185979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
281;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;GB17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;284;10;10;10;;;;;;;;24;;;;;;;;;;24;;;"186018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
282;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;283;7;7;7;;;;;;;;17;;;;;;;;;;17;;;"116781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
283;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;GB17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;283;7;7;7;;;;;;;;17;;;;;;;;;;17;;;"116841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
284;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;283;7;7;7;;;;;;;;17;;;;;;;;;;17;;;"185981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
285;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;GB17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;283;7;7;7;;;;;;;;17;;;;;;;;;;17;;;"186020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
286;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;266;11;11;11;;;;;;;;33;;;;;;;;;;33;;;"116769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
287;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;266;13;13;13;;;;;;;;32;;;;;;;;;;32;;;"116783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
288;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;GB17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;266;11;11;11;;;;;;;;33;;;;;;;;;;33;;;"116830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
289;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;GB17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;266;13;13;13;;;;;;;;32;;;;;;;;;;32;;;"116843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
290;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;266;11;11;11;;;;;;;;33;;;;;;;;;;33;;;"185969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
291;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;266;13;13;13;;;;;;;;32;;;;;;;;;;32;;;"185983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
292;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;GB17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;266;11;11;11;;;;;;;;33;;;;;;;;;;33;;;"186009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
293;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;GB17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;266;13;13;13;;;;;;;;32;;;;;;;;;;32;;;"186022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
294;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;264;1;1;1;;;;;;;;3;;;;;;;;;;3;;;"116780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
295;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;GB17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;264;1;1;1;;;;;;;;3;;;;;;;;;;3;;;"116840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
296;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;264;1;1;1;;;;;;;;3;;;;;;;;;;3;;;"185980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
297;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;GB17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;264;1;1;1;;;;;;;;3;;;;;;;;;;3;;;"186019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
298;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;261;11;11;11;;;;;;;;33;;;;;;;;;;33;;;"116767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
299;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;B17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;261;12;12;12;;;;;;;;36;;;;;;;;;;36;;;"116773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
300;2;16;1945;7.45;51.52;GERMANY;DORTMUND;ETO;;;;GB17;;;;;;;11336;MINSTERSTEIN COKING;CHEMICAL PLANTS;1;261;11;11;11;;;;;;;;33;;;;;;;;;;33;;;"116828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
301;8;16;1943;158.6833333;-7.566666667;SOLOMON_ISLANDS;REKATA_BAY;PTO;USA;13 AF;372 BS;B24;;1;;;;;;UNIDENTIFIED TARGET;;2;95;;1;;;;;;20;100 LB GP (GP-M30);;1;;;;;;;;;;1;;;"46766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
302;8;16;1943;16.25;39.27;ITALY;COSENZA;MTO;USA;12 AF;27 FBG/86 FBG;A36;;;PONTE OLIVO AIRFIELD;SICILY;37.131022;14.321464;9630;;;;;4;;8;;;;;8;500 LB GP (GP-M43/M64);;2;;;;;;;;;;2;;;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
303;8;16;1943;116.8333333;-1.25;BORNEO;BALIK_PAPAN;PTO;USA;5 AF;531 BS;B24;;6;;;;;;UNIDENTIFIED TARGET;;1;20;;1;;;;;;8;500 LB GP (GP-M43/M64);;2;;;;;;;;;;2;;;"23878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
304;2;19;1943;149.6666667;2;CAROLINE_ISLANDS;2_00_N_149_4;PTO;USA;7 AF;64 BS;B24;;12;;;;;;UNIDENTIFIED TARGET;;1;75;;1;;;;;;4;500 LB GP (GP-M43/M64);;1;;;;;;;;;;1;;;"430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
305;8;16;1943;98.48333333;25.01666667;CHINA;TENGCHUNG;CBI;USA;14 AF;16 FS;P40;;1;;;;;;WAREHOUSE;;1;15;;4;;;;;;4;500 LB GP (GP-M43/M64);;1;;;;;;;;;;1;;;"51939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
306;12;13;1943;150.8333333;-2.583333333;BISMARK_ARCHIPELAGO;KAVIENG;PTO;USA;7 AF;64 BS;B24;;6;;;;;;TOWNSHIP;;1;6;;1;;;;;;4;500 LB GP (GP-M43/M64);;1;;;;;;;;;;1;;;"1491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
307;8;16;1943;96.15;16.8;BURMA;RANGDON;CBI;USA;10 AF;9 BS;B24;;12;;;;;;UNIDENTIFIED TARGET;;1;31;;3;;;;;;0;500 LB GP (GP-M43/M64);;;;;;;;;;;;;;;"37429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
308;8;16;1943;96.15;16.8;BURMA;RANGDON;CBI;USA;10 AF;492 BS;B24;;12;;;;;;UNIDENTIFIED TARGET;;1;30;;6;;;;;;0;500 LB GP (GP-M43/M64);;;;;;;;;;;;;;;"37430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
309;8;16;1943;0.78;49.07;FRANCE;BEAUMDNT_LE_ROGER;ETO;USA;8 AF;;B26;;;;;;;3146;AIRDROME;AIR FIELDS AND AIRDROMES;1;100;;;;;;;;;;;31;;;;;;;;;;31;;;"95447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
310;8;16;1943;0.78;49.07;FRANCE;BEAUMDNT_LE_ROGER;ETO;USA;8 AF;;B26;;;;;;;3146;AIRDROME;AIR FIELDS AND AIRDROMES;1;100;;;;;;;;;;;31;;;;;;;;;;31;;;"197604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
311;8;16;1943;2.43;48.96;FRANCE;LE_BOURGET;ETO;;;;B17;;;;;;;24003;AIRDROME;AIR FIELDS AND AIRDROMES;1;225;;;;;;;;;;;32;;;;;;;;;;32;;;"95452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
