Mission_ID;Mission_Month;Mission_Day;Mission_Year;Target_Longitude;Target_Latitude;Target_Country;Target_City;Theater of Operations;Country;Air Force;Unit ID;Aircraft Series;Callsign;Mission Type;Takeoff Base;Takeoff Location;Takeoff Latitude;Takeoff Longitude;Target ID;Target Type;Target Industry;Target Priority;Altitude (Hundreds of Feet);Airborne Aircraft;Attacking Aircraft;Bombing Aircraft;Aircraft Returned;Aircraft Failed;Aircraft Damaged;Aircraft Lost;High Explosives;High Explosives Type;High Explosives Weight (Pounds);High Explosives Weight (Tons);Incendiary Devices;Incendiary Devices Type;Incendiary Devices Weight (Pounds);Incendiary Devices Weight (Tons);Fragmentation Devices;Fragmentation Devices Type;Fragmentation Devices Weight (Pounds);Fragmentation Devices Weight (Tons);Total Weight (Pounds);Total Weight (Tons);Time Over Target;Bomb Damage Assessment;"Source ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mission ID;Mission_Date;Theater of Operations;Country;Air Force;Unit ID;Aircraft Series;Callsign;Mission Type;Takeoff Base;Takeoff Location;Takeoff Latitude;Takeoff Longitude;Target ID;Target Country;Target City;Target Type;Target Industry;Target Priority;Target Latitude;Target Longitude;Altitude (Hundreds of Feet);Airborne Aircraft;Attacking Aircraft;Bombing Aircraft;Aircraft Returned;Aircraft Failed;Aircraft Damaged;Aircraft Lost;High Explosives;High Explosives Type;High Explosives Weight (Pounds);High Explosives Weight (Tons);Incendiary Devices;Incendiary Devices Type;Incendiary Devices Weight (Pounds);Incendiary Devices Weight (Tons);Fragmentation Devices;Fragmentation Devices Type;Fragmentation Devices Weight (Pounds);Fragmentation Devices Weight (Tons);Total Weight (Pounds);Total Weight (Tons);Time Over Target;Bomb Damage Assessment;Source ID";Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61
11;8;15;1943;92.71666667;11.68333333;BURMA;PORT_BLAIR;CBI;USA;10 AF;436 BS;B24;;2;;;;;;UNIDENTIFIED TARGET;;1;83;;6;;;;;;0;500 LB GP (GP-M43/M64);;;;;;;;;;;;;;;"37192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
12;8;15;1943;13.42;52.53;GERMANY;BERLIN;ETO;GREAT BRITAIN;RAF;;LGT;;;;;;;3735;CITY AREA;CITIES TOWNS AND URBAN AREAS;;250;;;;;;;;;;;1;;;;;;;;;;1;;;"292817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
13;8;15;1943;13.42;52.53;GERMANY;BERLIN;ETO;GREAT BRITAIN;RAF;;LGT;;;;;;;3735;CITY AREA;CITIES TOWNS AND URBAN AREAS;;250;5;5;5;;;;;;;;4;;;;;;;;;;4;;;"292818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
14;8;15;1943;3.53;51.4;HOLLAND_OR_NETHERLANDS;FLUSHING;ETO;;;;B17;;;;;;;14129;;AIR FIELDS AND AIRDROMES;2;245;;;;;;;;;;;39;;;;;;;;;;39;;;"95435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
15;8;15;1943;3.53;51.4;HOLLAND_OR_NETHERLANDS;FLUSHING;ETO;;;;B17;;;;;;;14129;;AIR FIELDS AND AIRDROMES;2;245;;;;;;;;;;;39;;;;;;;;;;39;;;"197541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
16;8;15;1943;3.53;51.4;HOLLAND_OR_NETHERLANDS;FLUSHING;ETO;;;;B17;;;;;;;14129;;AIR FIELDS AND AIRDROMES;2;245;;;;;;;;;;;39;;;;;;;;;;39;;;"197560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
17;8;15;1943;2.3;49.9;FRANCE;AMIENS;ETO;;;;B17;;;;;;;1063;AIRDROME;AIR FIELDS AND AIRDROMES;1;240;;;;;;;;;;;5;;;;;;;;;;5;;;"95429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
18;8;15;1943;2.3;49.9;FRANCE;AMIENS;ETO;;;;B17;;;;;;;1063;AIRDROME;AIR FIELDS AND AIRDROMES;1;240;;;;;;;;;;;5;;;;;;;;;;5;;;"197535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
19;8;15;1943;2.3;49.9;FRANCE;AMIENS;ETO;;;;B17;;;;;;;1063;AIRDROME;AIR FIELDS AND AIRDROMES;1;240;;;;;;;;;;;5;;;;;;;;;;5;;;"197555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
20;8;15;1943;2.3;49.9;FRANCE;AMIENS;ETO;;;;B17;;;;;;;1063;AIRDROME;AIR FIELDS AND AIRDROMES;1;234;;;;;;;;;;;20;;;;;;;;;;20;;;"95431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
21;8;15;1943;2.3;49.9;FRANCE;AMIENS;ETO;;;;B17;;;;;;;1063;AIRDROME;AIR FIELDS AND AIRDROMES;1;234;;;;;;;;;;;20;;;;;;;;;;20;;;"197537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
22;8;15;1943;2.3;49.9;FRANCE;AMIENS;ETO;;;;B17;;;;;;;1063;AIRDROME;AIR FIELDS AND AIRDROMES;1;234;;;;;;;;;;;20;;;;;;;;;;20;;;"197557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
23;8;15;1943;3.53;51.4;HOLLAND_OR_NETHERLANDS;FLUSHING;ETO;;;;B17;;;;;;;14129;;AIR FIELDS AND AIRDROMES;1;230;;;;;;;;;;;36;;;;;;;;;;36;;;"95434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
24;8;15;1943;3.53;51.4;HOLLAND_OR_NETHERLANDS;FLUSHING;ETO;;;;B17;;;;;;;14129;;AIR FIELDS AND AIRDROMES;1;230;;;;;;;;;;;36;;;;;;;;;;36;;;"197540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
